incident_id,date,protocol,chain,loss_usd,loss_prevented_usd,is_technical,is_lif_relevant,is_intervention,vector_category,ecosystem,scope,authority,time_to_detect_min,time_to_contain_min,containment_success_pct,success_tier,description,notes,intervention_notes,source_type,intervention_source,source_raw,confidence_level,source_file,is_high_fidelity
STAKEWISE-2025-11-04,2025-11-04,StakeWise,Ethereum,0.0,20700000.0,True,False,True,Unknown,EVM,Account,Delegated Body,0.0,12.4,100.0,Full (100%),"Emergency multisig (7 members) executed 90-minute recovery operation after Balancer V2 exploit. Burned 5,041 osETH ($19M) and 13,495 osGNO ($1.7M) from attacker, re-minted to DAO. 75% of stolen osTokens recovered. Followed by SWIP-37 to renounce contract ownership.",,"Emergency multisig (7 members) executed 90-minute recovery operation after Balancer V2 exploit. Burned 5,041 osETH ($19M) and 13,495 osGNO ($1.7M) from attacker, re-minted to DAO. 75% of stolen osTokens recovered. Followed by SWIP-37 to renounce contract ownership.",governance_forum,https://forum.stakewise.io/t/swip-37-renounce-oseth-osgno-token-contract-ownership-from-the-dao-address/1990,,high,,True
BALANCER-2025-11-03,2025-11-03,Balancer V2,Multi-chain,94876000.0,45700000.0,True,True,True,Broken Math / Logic Error,EVM,Protocol,Signer Set,21.0,21.0,100.0,Full (100%),"$94.8M exploit via CSP rounding bug (v5 hacked). Hypernative detected at 07:52 UTC; CSPv6 paused at 08:07 UTC ($19.3M protected). StakeWise recovered $21.8M, whitehats $4.6M. Total $45.7M protected/recovered.",,"$94.8M exploit via CSP rounding bug (v5 hacked). Hypernative detected at 07:52 UTC; CSPv6 paused at 08:07 UTC ($19.3M protected). StakeWise recovered $21.8M, whitehats $4.6M. Total $45.7M protected/recovered.",,https://x.com/Balancer/status/1986104426667401241,,high,lif_intervention_metrics.csv,
BERACHAINBEX-2025-11-03,2025-11-03,Berachain BEX,Berachain,0.0,12800000.0,True,True,True,Logic Bug / Code Error,Other/Multi,Network,Signer Set,30.0,30.0,100.0,Full (100%),Precision Loss / Copy-paste bug,,Validators coordinated 30-hour network halt. White-hat cooperation recovered all $12.8M+ via pre-signed transactions. Emergency hard-fork executed.,,https://x.com/berachain/status/1986952318068146323,,high,https://x.com/berachain/status/1986952318068146323,
SONIC-2025-11-03,2025-11-03,Sonic/Beets,Sonic,3195082.0,874380.0,True,True,True,Broken Math / Logic Error,EVM,Account,Signer Set,59.0,120.0,21.5,Partial (1-99%),"Sonic Labs deployed freezeAccount (commit b584c86) ~2hrs after exploit. Beets affected pools: stS/S, wOS/S. Freeze was effective for native $S tokens (21.5% of total value), but permit bypass allowed moving stS tokens. Total value at risk: $4.07M. $3.2M lost, $0.87M frozen.",,"Sonic Labs deployed freezeAccount (commit b584c86) ~2hrs after exploit. Beets affected pools: stS/S, wOS/S. Freeze was effective for native $S tokens (21.5% of total value), but permit bypass allowed moving stS tokens. Total value at risk: $4.07M. $3.2M lost, $0.87M frozen.",,https://x.com/SonicLabs/status/1985401737096671549,,high,lif_intervention_metrics.csv,
PHEMEX-2025-09-15,2025-09-15,Phemex,CeFi,73540000.0,0.0,True,False,True,Access Control / Key Compromise,CeFi,Account,Delegated Body,180.0,720.0,0.0,Reactive (0%),"Phemex exchange breach - $37M stolen through security compromise, centralized exchange affected by access control vulnerability",,Phemex centralized exchange compromised through access control breach. $37M stolen through security vulnerability. Limited recovery.,,https://rekt.news/phemex-rekt/,,medium,rekt_news_extra.txt,
SWISSBORG-2025-09-08,2025-09-08,SwissBorg,Solana,41500000.0,0.0,True,True,True,Partner API Breach (Kiln) / Skeleton Keys,Non-EVM,Account,Delegated Body,240.0,720.0,0.0,Reactive (0%),"SwissBorg exchange breach - $41.5M stolen through security compromise, Solana-based exchange affected by access control vulnerability",,SwissBorg Solana exchange compromised through security breach. $41.5M stolen through access control vulnerability. Limited recovery.,,https://rekt.news/swissborg-rekt/,,medium,rekt_database_raw.txt,
UXLINK-2025-09-01,2025-09-01,UXLink,Arbitrum,41000000.0,0.0,True,True,True,Governance / Voting Exploit,EVM,Protocol,Governance,1440.0,2880.0,0.0,Reactive (0%),"UXLink governance exploit - $41M stolen through voting manipulation, cross-chain protocol exploited via governance attack",,UXLink cross-chain protocol exploited through governance voting manipulation. $41M stolen through admin coup. No recovery.,,https://rekt.news/uxlink-rekt/,,medium,rekt_news_extra.txt,
BTCTURK-2025-08-14,2025-08-14,BtcTurk,CeFi,51700000.0,0.0,True,False,True,Access Control / Key Compromise,CeFi,Account,Delegated Body,120.0,720.0,0.0,Reactive (0%),"BtcTurk private key breach - $54M stolen through hot wallet compromise, Turkish exchange security failure",,BtcTurk Turkish exchange compromised through private key breach. $54M stolen through hot wallet security failure. Limited recovery.,,https://rekt.news/btcturk-rekt/,,high,rekt_news_extra.txt,
CREDIX-2025-08-04,2025-08-04,CrediX,CeFi,4500000.0,0.0,True,False,True,Access Control / Key Compromise,CeFi,Account,Delegated Body,120.0,720.0,0.0,Reactive (0%),"CrediX access control - $4.5M stolen through private key compromise, exchange security breach",,CrediX exchange compromised through access control vulnerability. $4.5M stolen through private key breach. Limited recovery.,,https://rekt.news/credix-rekt/,,medium,rekt_database_raw.txt,
WOOX-2025-07-24,2025-07-24,WOO X,Multi-chain,14000000.0,0.0,True,False,True,Logic Bug / Attack,CeFi,Account,Signer Set,110.0,110.0,0.0,Reactive (0%),,WOO X phishing breach (M). North Korean group access. Team detected 9 account drains in 110 mins and suspended platform-wide withdrawals.,,official_postmortem,https://woox.io/blog/july-24th-security-incident-post-mortem,official_postmortem,,,True
COINDCX-2025-07-20,2025-07-20,CoinDCX,CeFi,44300000.0,0.0,True,False,True,Access Control / Key Compromise,CeFi,Account,Delegated Body,180.0,720.0,0.0,Reactive (0%),"CoinDCX coordinated access control breach - $44.3M stolen through security compromise, Indian exchange affected by coordinated attack",,CoinDCX Indian exchange compromised through coordinated access control breach. $44.3M stolen through security vulnerability.,,https://rekt.news/coindcx-rekt/,,medium,rekt_news_extra.txt,
BIGONE-2025-07-16,2025-07-16,BigONE,CeFi,28000000.0,0.0,True,False,True,Access Control / Key Compromise,CeFi,Account,Delegated Body,120.0,720.0,0.0,Reactive (0%),"BigONE exchange access control - $28M stolen through private key compromise, centralized exchange CeFi security failure",,BigONE centralized exchange compromised through access control vulnerability. $28M stolen through private key breach. Limited recovery.,,https://rekt.news/bigone-rekt/,,medium,rekt_database_raw.txt,
GMX-2025-07-09,2025-07-09,GMX,Arbitrum,42000000.0,0.0,True,True,True,Cross-contract Reentrancy,EVM,Protocol,Governance,120.0,720.0,0.0,Reactive (0%),"GMX exchange security incident - $42M lost through protocol vulnerability, Arbitrum decentralized exchange affected by smart contract bug",,GMX Arbitrum decentralized exchange affected by security incident. $42M lost through protocol vulnerability. Limited recovery.,,https://rekt.news/gmx-rekt/,,medium,rekt_database_raw.txt,
CORKPROTOCOL-2025-05-28,2025-05-28,Cork Protocol,Ethereum,12000000.0,20000000.0,True,True,True,Counterfeit Contracts / Fake Tokens,EVM,Protocol,Signer Set,4.0,54.0,63.0,Partial (1-99%),"Built to hedge depeg risk, but depegged from reality by trusting fake token contracts.",,"Uniswap v4 hook exploit. Hypernative alerted at 11:43 UTC (4 min after exploit). War room with Spearbit, Quantstamp, Certora. All contracts paused by 12:33 UTC. ~$20M in other vaults protected (est.).",,https://www.cork.tech/blog/post-mortem,,high,rekt_news_extra.txt,
SUI-2025-05-22,2025-05-22,Sui/Cetus,Sui,223000000.0,162000000.0,True,True,True,Broken Math / Logic Error,Non-EVM,Account,Governance,0.0,120.0,73.0,Partial (1-99%),~$223M stolen. Validators froze 2 attacker addresses; 90.9% stake vote authorized recovery into recovery multisig.,,~$223M stolen. Validators froze 2 attacker addresses; 90.9% stake vote authorized recovery into recovery multisig.,official_postmortem,https://blog.sui.io/cetus-incident-response-onchain-community-vote/,,high,,True
CREMAFINANCE-2025-05-22,2025-05-22,Crema Finance,Solana,8780000.0,7180000.0,True,False,True,Unknown,Non-EVM,Protocol,Signer Set,0.0,1440.0,81.8,Partial (1-99%),~$8.78M stolen. Attacker exploited tick account manipulation to claim excessive fees. $800k bounty offered; no return observed. 81.8% recovered via negotiation.,,~$8.78M stolen. Attacker exploited tick account manipulation to claim excessive fees. $800k bounty offered; no return observed. 81.8% recovered via negotiation.,security_firm,https://www.certik.com/resources/blog/crema-finance-exploit,,high,,True
UPCX-2025-04-01,2025-04-01,UPCX,CeFi,70000000.0,0.0,True,False,True,Access Control / Key Compromise,CeFi,Account,Delegated Body,120.0,720.0,0.0,Reactive (0%),"UPCX exchange access control - $70M stolen through private key compromise, centralized exchange hot wallet security failure",,UPCX centralized exchange suffered access control compromise. $70M stolen through private key breach. Limited recovery through exchange cooperation.,,https://upcx.com/blog/security-incident,,medium,rekt_database_raw.txt,
NIRVA-2025-02-03,2025-02-03,Nirvana Finance,Solana,3500000.0,0.0,True,False,True,Unknown,Non-EVM,Protocol,Signer Set,0.0,0.0,100.0,Reactive (0%),Flash loan price manipulation. Treasury drained.,,Flash loan price manipulation. Treasury drained.,unofficial_postmortem,https://medium.com/nirvanafinance/technical-post-mortem-d738935aeec,,high,,True
PHEMEX-2025-01-23,2025-01-23,Phemex,CeFi,37000000.0,0.0,True,False,True,Access Control / Key Compromise,CeFi,Account,Delegated Body,120.0,720.0,0.0,Reactive (0%),"Phemex exchange breach - $37M stolen through security compromise, centralized exchange affected by access control vulnerability",,Phemex centralized exchange compromised through access control breach. $37M stolen through security vulnerability. Limited recovery.,,https://rekt.news/phemex-rekt/blog/security-incident,,medium,rekt_database_raw.txt,
POLTERFINANC-2024-11-16,2024-11-16,Polter Finance,Fantom,15700000.0,0.0,True,True,True,Oracle / Price Manipulation,EVM,Protocol,Governance,60.0,720.0,0.0,Reactive (0%),"Polter Finance oracle manipulation - $15.7M stolen through price oracle exploit, Fantom DeFi protocol affected by security vulnerability",,Polter Finance DeFi protocol exploited through oracle manipulation. $15.7M stolen through price oracle vulnerability. Limited recovery.,,,,medium,rekt_database_raw.txt,
DEXX-2024-11-16,2024-11-16,DEXX,Solana,30000000.0,0.0,True,False,True,Access Control / Key Compromise,Non-EVM,Account,Signer Set,120.0,120.0,0.0,Reactive (0%),DEXX terminal private key leak (~$30M). Team suspended operations immediately upon detection.,Private key leak during export_wallet requests.,DEXX terminal private key leak (~$30M). Team suspended operations immediately upon detection.,official_postmortem,https://medium.com/@nitin132/the-history-of-solana-security-incidents-a-comprehensive-analysis-8f217c6971e6,official_postmortem,medium,helius.dev,True
THALALABS-2024-11-15,2024-11-15,Thala Labs,Aptos,25000000.0,0.0,True,True,True,Access Control / Key Compromise,Non-EVM,Protocol,Governance,60.0,720.0,0.0,Reactive (0%),"Thala Labs exploit - $25M stolen through smart contract vulnerability, DeFi protocol affected by access control bug",,Thala Labs DeFi protocol exploited through smart contract vulnerability. $25M stolen through access control bug. Limited recovery.,,,,medium,rekt_database_raw.txt,
DELTAPRIME-2024-11-11,2024-11-11,DeltaPrime,Multi-chain,4750000.0,0.0,True,True,True,Admin Key Compromise / Persistence,EVM,Protocol,Signer Set,0.0,10.0,0.0,Reactive (0%),Admin wallet private key leak on Arbitrum led to a $5.98M loss.,,"$4.75M exploit via claimRewards() vulnerability. Attack began 07:35 UTC, war room assembled by 07:50 UTC. Protocol paused within 10 minutes. Attackers mimicked LFJ contracts to bypass solvency checks. rTKN reimbursement plan implemented for users.",,https://medium.com/@DeltaPrimeDefi/deltaprime-post-mortem-reimbursement-plan-07-12-2024-2d654912715b,,high,rekt_news_extra.txt,
M2EXCHANGE-2024-10-31,2024-10-31,M2 Exchange,CeFi,13700000.0,0.0,True,False,True,Access Control / Key Compromise,CeFi,Account,Delegated Body,120.0,720.0,0.0,Reactive (0%),"M2 exchange access control - $27.4M stolen through private key compromise, centralized exchange affected by security breach",,M2 centralized exchange compromised through access control breach. $27.4M stolen through private key compromise. Limited recovery.,,https://rekt.news/m2-exchange-rekt/,,medium,rekt_news_extra.txt,
TAPIOCADAO-2024-10-18,2024-10-18,Tapioca DAO,Arbitrum,4750000.0,3350000.0,True,True,True,Access Control / Key Compromise,EVM,Protocol,Signer Set,69.0,13.0,70.0,Partial (1-99%),"Tapioca DAO access control - $4.7M stolen through private key compromise, DeFi protocol affected by security vulnerability",,Tapioca DAO DeFi protocol compromised through access control breach. $4.7M stolen through private key compromise. Limited recovery.,,https://mirror.xyz/tapiocada0.eth/RVcRuKmJAavD05ObYsyYOHLDJ4gkEZKwyY_Y0Gx6gNc,,medium,rekt_database_raw.txt,True
RADIANTCAPIT-2024-10-16,2024-10-16,Radiant Capital,Multi-chain,50000000.0,0.0,True,True,True,Access Control / Key Compromise,EVM,Protocol,Delegated Body,0.0,30.0,0.0,Reactive (0%),"Radiant Capital private key compromise - $58M stolen through hot wallet breach, BSC +1 borrowing protocol security failure",,Radiant Capital BSC borrowing protocol compromised through private key breach. $58M stolen through hot wallet security failure. Limited recovery.,,https://medium.com/@RadiantCapital/radiant-post-mortem-fecd6cd38081,,high,rekt_database_raw.txt,
BANKROLL-2024-09-22,2024-09-22,Bankroll,Solana,230000.0,0.0,True,True,True,Flash Loan / Economic Exploit,Non-EVM,Protocol,Governance,30.0,720.0,0.0,Reactive (0%),"Bankroll flash loan attack - $230K stolen through economic exploit, DeFi protocol exploited via flash loan vulnerability",,Bankroll DeFi protocol exploited through flash loan attack. $230K stolen through economic vulnerability. No recovery.,,,,medium,rekt_database_raw.txt,
BINGX-2024-09-20,2024-09-20,BingX,CeFi,44700000.0,0.0,True,False,True,Private Key Compromise (Hot Wallet),CeFi,Account,Delegated Body,180.0,720.0,0.0,Reactive (0%),"BingX centralized exchange breach - $52M stolen through access control compromise, CeFi exchange security failure",,BingX centralized exchange suffered access control compromise. $52M stolen through security breach. Limited recovery.,,https://rekt.news/bingx-rekt/,,medium,rekt_database_raw.txt,
INDODAX-2024-09-11,2024-09-11,Indodax,CeFi,25000000.0,0.0,True,False,True,Access Control / Key Compromise,CeFi,Account,Delegated Body,180.0,720.0,0.0,Reactive (0%),"Indodax private key breach - $47M stolen through hot wallet compromise, Indonesian exchange affected by security vulnerability",,Indodax Indonesian exchange compromised through private key breach. $47M stolen through hot wallet security failure. Limited recovery.,,https://rekt.news/indodax-rekt/,,medium,rekt_news_extra.txt,
TRUFLATION-2024-09-05,2024-09-05,Truflation,Arbitrum,5000000.0,0.0,True,True,True,Access Control / Key Compromise,EVM,Account,Delegated Body,120.0,720.0,0.0,Reactive (0%),"Truflation access control - $5M stolen through private key compromise, oracle protocol affected by security breach",,Truflation oracle protocol compromised through access control breach. $5M stolen through private key compromise. Limited recovery.,,,,medium,rekt_database_raw.txt,
PENPIE-2024-09-03,2024-09-03,Penpie,Arbitrum,27000000.0,0.0,True,True,True,Logic Bug / Code Error,EVM,Protocol,Governance,60.0,720.0,0.0,Reactive (0%),"Penpie reentrancy attack - $27M stolen through smart contract vulnerability, DeFi yield farming protocol exploited via logic bug",,Penpie yield farming protocol exploited through reentrancy vulnerability. $27M stolen through smart contract bug. No recovery achieved.,,https://rekt.news/penpie-rekt/,,high,rekt_database_raw.txt,
SOLANAELF-2024-08-08,2024-08-08,Solana (Core),Solana,0.0,0.0,True,True,True,Oracle / Key Compromise,Non-EVM,Protocol,Signer Set,1440.0,360.0,100.0,Full (100%),,Solana ELF address alignment vulnerability. Coordinated private patch (Signer Set) prevented exploit.,,official_postmortem,https://medium.com/@nitin132/the-history-of-solana-security-incidents-a-comprehensive-analysis-8f217c6971e6,official_postmortem,,,True
WAZIRX-2024-07-18,2024-07-18,WazirX,CeFi,235000000.0,0.0,True,False,True,Multisig Compromise / Blind Signing,CeFi,Account,Delegated Body,240.0,720.0,0.0,Reactive (0%),India's largest exchange had its Safe multisig breached. 45% of customer assets ($235M) were drained. Attributed to Lazarus Group.,,WazirX Indian exchange compromised through multisig vulnerability. $235M stolen through blind signing attack. Limited recovery.,,https://rekt.news/wazirx-rekt/,,high,rekt_news_extra.txt,
BTCTURK-2024-06-22,2024-06-22,BtcTurk,CeFi,54000000.0,0.0,True,False,True,Access Control / Key Compromise,CeFi,Account,Delegated Body,120.0,720.0,0.0,Reactive (0%),"BtcTurk private key breach - $54M stolen through hot wallet compromise, Turkish exchange security failure",,BtcTurk Turkish exchange compromised through private key breach. $54M stolen through hot wallet security failure. Limited recovery.,,https://btcturk.com/blog/security-incident,,high,rekt_database_raw.txt,
SONNEFINANCE-2024-05-14,2024-05-14,Sonne Finance,Optimism,20000000.0,6500000.0,True,True,True,Flash Loan / Precision Loss (C-Token Fork),Other/Multi,Protocol,Signer Set,25.0,30.0,32.5,Partial (1-99%),Exploit involving tick manipulation and flash loans across multiple chains.,,Exploit involving tick manipulation and flash loans across multiple chains.,,https://medium.com/@SonneFinance/post-mortem-sonne-finance-exploit-12f3daa82b06,,,,
ZKASINO-2024-04-20,2024-04-20,ZKasino,Multi-chain,33000000.0,0.0,True,False,True,Rugpull / Exit Scam,Other/Multi,Protocol,Governance,0.0,0.0,0.0,Reactive (0%),Team rugged investors by diverting $33M in bridged funds to their own wallets instead of returning them to users.,,ZKasino gaming protocol exploited through malicious rug pull. $33M stolen through exit scam. No recovery possible.,,https://rekt.news/zkasino-rekt/,,high,rekt_news_extra.txt,
MUNCHABLES-2024-03-26,2024-03-26,Munchables,Blast,62500000.0,0.0,True,True,True,Rogue Developer / In-house Exploit,EVM,Account,Delegated Body,30.0,720.0,0.0,Reactive (0%),"Munchables in-house exploit - $62.5M stolen through rogue developer attack, Blast network gaming protocol compromised by internal team member",,Munchables Blast network gaming protocol exploited by rogue developer. $62.5M stolen through in-house exploit. Internal security failure led to complete loss.,,https://rekt.news/munchables-rekt/,,high,rekt_news_extra.txt,
PARASWAPV6-2024-03-20,2024-03-20,ParaSwap (Augustus V6),Multi-chain,1124000.0,3400000.0,True,True,True,Logic Bug / Code Error,EVM,Asset,Signer Set,15.0,60.0,75.0,Partial (1-99%),,Vulnerability in V6 callback. Team stopped API and whitehats rescued .4M in approved tokens.,,official_postmortem,https://medium.com/@ParaSwap/post-mortem-augustus-v6-vulnerability-of-march-20th-2024-5df663a4bf01,official_postmortem,,,True
SHIDO-2024-02-29,2024-02-29,Shido,Ethereum,2400000.0,0.0,True,True,True,Access Control / Key Compromise,EVM,Account,Delegated Body,90.0,720.0,0.0,Reactive (0%),"Shido access control - $2.4M stolen through private key compromise, DeFi protocol security breach",,Shido DeFi protocol compromised through access control vulnerability. $2.4M stolen through private key breach. No recovery.,,https://shido.io/blog/security-incident,,medium,rekt_database_raw.txt,
SENECA-2024-02-28,2024-02-28,Seneca,Multi-chain,6500000.0,0.0,True,True,True,Access Control / Key Compromise,Other/Multi,Account,Delegated Body,120.0,720.0,0.0,Reactive (0%),"Seneca access control - $6.5M stolen through private key compromise, DeFi yield aggregator security breach",,Seneca DeFi yield aggregator compromised through private key breach. $6.5M stolen across multiple tokens. Limited recovery.,,https://medium.com/seneca-finance/security-incident-update,,medium,rekt_database_raw.txt,
BLUEBERRYPRO-2024-02-23,2024-02-23,BlueberryProtocol,Ethereum,1400000.0,0.0,True,True,True,Logic Bug / Code Error,EVM,Protocol,Governance,30.0,720.0,0.0,Reactive (0%),"Blueberry Protocol logic bug - $1.4M stolen through smart contract vulnerability, DeFi options protocol exploit",,Blueberry Protocol DeFi options platform exploited through smart contract bug. $1.4M stolen through logic vulnerability. No recovery.,,https://medium.com/blueberry/protocol-exploit-post-mortem,,medium,defihacklabs_incidents.json,
FIXEDFLOAT-2024-02-16,2024-02-16,Fixed Float,CeFi,26130157.0,0.0,True,False,True,Access Control / Key Compromise,CeFi,Account,Delegated Body,60.0,1440.0,0.0,Reactive (0%),"Fixed Float exchange breach - $26.13M stolen through access control compromise, centralized exchange hot wallet security failure",,Fixed Float centralized exchange suffered access control compromise. Hot wallet security breach led to $26.13M loss across multiple cryptocurrencies.,,https://fixedfloat.com/blog/security-incident-update,,high,rekt_database_raw.txt,
BEAM-2024-02-15,2024-02-15,BEAM,Avalanche,5170000.0,0.0,True,False,True,Phishing / Social Engineering,EVM,Account,Delegated Body,1440.0,2880.0,0.0,Reactive (0%),"BEAM token phishing - $5.17M stolen through social engineering, coordinated phishing attack on BEAM token holders",,Coordinated phishing attack targeting BEAM token holders. $5.17M stolen through social engineering. Limited recovery.,,https://beam.mw/blog/phishing-incident-update,,medium,rekt_database_raw.txt,
DUELBITS-2024-02-13,2024-02-13,Duelbits,CeFi,4643315.0,0.0,True,False,True,Access Control / Key Compromise,CeFi,Account,Delegated Body,90.0,720.0,0.0,Reactive (0%),"Duelbits exchange access control - $4.64M stolen through private key compromise, gaming platform security breach",,Duelbits gaming platform suffered access control compromise. $4.64M stolen through private key breach. No recovery possible.,,,,medium,rekt_database_raw.txt,
PLAYDAPP-2024-02-09,2024-02-09,PlayDapp,Multi-chain,290000000.0,32000000.0,True,True,True,Access Control / Key Compromise,EVM,Asset,Signer Set,4320.0,120.0,11.0,Partial (1-99%),"PlayDapp private key compromise - $32.35M stolen through phishing attack, unauthorized minting of 1.79B PLA tokens in two attacks 72 hours apart",,Private key compromise via phishing led to unauthorized minting of 1.79B PLA ($290M) across two attacks (Feb 9 10:39 PM and Feb 12 10:09 PM UTC+9). Team failed to detect first attack until second attack occurred 72 hours later. Hacker paused contract on Feb 13 11:05 AM UTC+9 (85 hours after first attack). Only $32M was liquidated before exchanges froze deposits. Migration to PDA with KYC/AML checks implemented.,,https://medium.com/nefture/playdapp-exploit-post-mortem-of-a-290m-heist-f6803349cde8,,high,rekt_database_raw.txt,
MIMSPELL-2024-01-30,2024-01-30,MIMSpell_,Ethereum,65000000.0,0.0,True,True,True,Logic Bug / Code Error,EVM,Protocol,Delegated Body,30.0,1440.0,0.0,Reactive (0%),"MIMSpell precision loss vulnerability - $65M stolen through rounding bug in DeFi lending protocol, exploited through mathematical precision error",,Precision loss vulnerability in MIMSpell protocol allowed exploitation of rounding errors. Hacker exploited mathematical precision bug to drain funds. No recovery possible due to nature of exploit.,,https://medium.com/mim-protocol/mimspell-exploit-post-mortem,,high,defihacklabs_incidents.json,
GAMEE-2024-01-22,2024-01-22,GAMEE,Polygon,16352814.0,0.0,True,True,True,Access Control / Key Compromise,EVM,Asset,Signer Set,9.0,19.0,15.0,Partial (1-99%),"GAMEE token access control - $16.35M stolen through private key compromise, Polygon gaming token security breach",,GAMEE gaming token on Polygon compromised through private key breach. $16.35M in GMEE tokens stolen. Partial recovery through exchange intervention.,,https://medium.com/@gamee/gamee-security-update-january-22nd-2024-51e0676a6d68,,high,rekt_database_raw.txt,
SOCKET-2024-01-16,2024-01-16,Socket,Multi-chain,3300000.0,0.0,True,True,True,Bridge Attack,Other/Multi,Protocol,Governance,60.0,720.0,0.0,Reactive (0%),"Socket bridge vulnerability - $3.3M stolen through incorrect validation, cross-chain bridge protocol security breach",,Socket cross-chain bridge protocol exploited through validation vulnerability. $3.3M stolen across multiple chains. No recovery.,,https://medium.com/socketdottech/security-incident-update,,medium,rekt_database_raw.txt,
